"GER";"UTEP";"DT_CRIA";"ANO";"MES";"TOTAL"
OESTE;EXTREMO OESTE;2026-01-28;2026;1;1
SUL;EXTREMO SUL;2026-01-20;2026;1;1
OESTE;EXTREMO OESTE;2026-01-26;2026;1;1
SUL;SALVADOR;2026-01-15;2026;1;1
NORTE;NORDESTE;2026-01-02;2026;1;1
OESTE;EXTREMO OESTE;2026-01-20;2026;1;2
OESTE;SUDOESTE;2026-01-29;2026;1;1
OESTE;SUDESTE;2026-01-28;2026;1;1
OESTE;NOROESTE;2026-01-15;2026;1;1
SUL;CENTRO SUL;2026-01-14;2026;1;1
SUL;EXTREMO SUL;2026-01-19;2026;1;1
OESTE;NOROESTE;2026-01-07;2026;1;1
NORTE;CENTRO NORTE;2026-01-20;2026;1;1
OESTE;SUDOESTE;2026-01-16;2026;1;1
OESTE;SUDOESTE;2026-01-09;2026;1;1
NORTE;CENTRO;2026-01-26;2026;1;1
OESTE;SUDOESTE;2026-02-17;2026;2;1
NORTE;SEABRA;2026-02-27;2026;2;2
OESTE;EXTREMO OESTE;2026-02-25;2026;2;1
NORTE;CENTRO NORTE;2026-02-01;2026;2;2
NORTE;CENTRO NORTE;2026-02-03;2026;2;2
OESTE;SUDOESTE;2026-02-25;2026;2;1
SUL;EXTREMO SUL;2026-02-19;2026;2;1
SUL;EXTREMO SUL;2026-02-12;2026;2;1
NORTE;NORDESTE;2026-02-04;2026;2;1
OESTE;NOROESTE;2026-02-23;2026;2;1
SUL;EXTREMO SUL;2026-02-23;2026;2;1
NORTE;CENTRO NORTE;2026-02-27;2026;2;2
SUL;SALVADOR;2026-02-26;2026;2;1
NORTE;CENTRO NORTE;2026-02-04;2026;2;2
SUL;SALVADOR;2026-02-23;2026;2;2
OESTE;SUDOESTE;2026-02-03;2026;2;1
NORTE;NORDESTE;2026-02-26;2026;2;1
NORTE;NORDESTE;2026-02-19;2026;2;1
OESTE;SUDESTE;2026-02-03;2026;2;1
NORTE;NORDESTE;2026-02-06;2026;2;1
OESTE;NOROESTE;2026-02-19;2026;2;1
NORTE;NORTE;2026-02-09;2026;2;1
SUL;EXTREMO SUL;2026-02-27;2026;2;1
SUL;SUL;2026-02-02;2026;2;1
SUL;SALVADOR;2026-02-06;2026;2;1
OESTE;EXTREMO OESTE;2026-03-02;2026;3;1
SUL;CENTRO SUL;2026-03-02;2026;3;1
SUL;EXTREMO SUL;2026-03-16;2026;3;1
OESTE;OESTE;2026-03-18;2026;3;1
SUL;EXTREMO SUL;2026-03-19;2026;3;1
OESTE;NOROESTE;2026-03-09;2026;3;1
SUL;EXTREMO SUL;2026-03-04;2026;3;2
OESTE;OESTE;2026-03-19;2026;3;1
SUL;SUL;2026-03-31;2026;3;1
SUL;SALVADOR;2026-03-16;2026;3;1
NORTE;NORDESTE;2026-03-09;2026;3;1
SUL;EXTREMO SUL;2026-03-02;2026;3;1
NORTE;NORDESTE;2026-03-25;2026;3;1
NORTE;NORDESTE;2026-03-24;2026;3;1
OESTE;SUDESTE;2026-03-30;2026;3;2
SUL;EXTREMO SUL;2026-03-17;2026;3;1
NORTE;NORDESTE;2026-03-10;2026;3;1
SUL;SALVADOR;2026-03-30;2026;3;1
SUL;CENTRO SUL;2026-03-31;2026;3;1
NORTE;CENTRO NORTE;2026-03-02;2026;3;1
NORTE;CENTRO NORTE;2026-03-11;2026;3;1
NORTE;NORTE;2026-03-06;2026;3;1
NORTE;NORTE;2026-03-03;2026;3;1
SUL;EXTREMO SUL;2026-03-11;2026;3;2
OESTE;NOROESTE;2026-03-06;2026;3;2
SUL;EXTREMO SUL;2026-03-03;2026;3;1
OESTE;OESTE;2026-03-17;2026;3;3
OESTE;OESTE;2026-03-16;2026;3;2
SUL;SUL;2026-03-30;2026;3;1
SUL;SALVADOR;2026-03-19;2026;3;3
OESTE;SUDOESTE;2026-03-26;2026;3;1
OESTE;OESTE;2026-03-04;2026;3;2
OESTE;OESTE;2026-03-06;2026;3;2
NORTE;NORDESTE;2026-03-27;2026;3;2
NORTE;NORDESTE;2026-03-31;2026;3;3
SUL;SUL;2026-03-27;2026;3;1
OESTE;SUDOESTE;2026-03-11;2026;3;1
NORTE;NORDESTE;2026-03-19;2026;3;2
OESTE;SUDOESTE;2026-04-20;2026;4;1
NORTE;NORDESTE;2026-04-06;2026;4;2
NORTE;NORDESTE;2026-04-30;2026;4;1
NORTE;NORDESTE;2026-04-15;2026;4;2
SUL;CENTRO SUL;2026-04-01;2026;4;1
NORTE;NORDESTE;2026-04-28;2026;4;1
SUL;SALVADOR;2026-04-02;2026;4;1
SUL;SUL;2026-04-30;2026;4;4
NORTE;NORDESTE;2026-04-29;2026;4;1
OESTE;SUDOESTE;2026-04-02;2026;4;1
OESTE;SUDESTE;2026-04-24;2026;4;1
NORTE;SEABRA;2026-04-07;2026;4;1
SUL;SALVADOR;2026-04-07;2026;4;1
SUL;SALVADOR;2026-04-20;2026;4;1
SUL;CENTRO SUL;2026-04-29;2026;4;1
NORTE;NORDESTE;2026-04-01;2026;4;1
NORTE;NORDESTE;2026-04-23;2026;4;4
NORTE;SEABRA;2026-04-08;2026;4;1
OESTE;EXTREMO OESTE;2026-04-13;2026;4;1
SUL;SALVADOR;2026-04-10;2026;4;1
OESTE;NOROESTE;2026-04-19;2026;4;1
NORTE;CENTRO OESTE;2026-04-01;2026;4;1
NORTE;NORDESTE;2026-05-26;2026;5;1
OESTE;SUDESTE;2026-05-22;2026;5;2
OESTE;SUDOESTE;2026-05-21;2026;5;1
SUL;SUL;2026-05-04;2026;5;1
SUL;SUL;2026-05-26;2026;5;1
NORTE;NORDESTE;2026-05-18;2026;5;1
OESTE;SUDESTE;2026-05-06;2026;5;1
OESTE;SUDESTE;2026-05-12;2026;5;1
SUL;SALVADOR;2026-05-04;2026;5;1
NORTE;NORDESTE;2026-05-06;2026;5;1
OESTE;NOROESTE;2026-05-06;2026;5;1
SUL;CENTRO SUL;2026-05-13;2026;5;1
OESTE;SUDESTE;2026-05-19;2026;5;1
NORTE;CENTRO OESTE;2026-05-22;2026;5;1
SUL;EXTREMO SUL;2026-05-20;2026;5;1
OESTE;SUDESTE;2026-05-25;2026;5;1
NORTE;SERRINHA;2026-05-26;2026;5;1
NORTE;SERRINHA;2026-05-04;2026;5;1
SUL;SUL;2026-05-18;2026;5;1
NORTE;NORDESTE;2026-05-05;2026;5;1
SUL;SUL;2026-05-07;2026;5;4
SUL;EXTREMO SUL;2026-05-29;2026;5;1
SUL;EXTREMO SUL;2026-05-28;2026;5;1
NORTE;SERRINHA;2026-05-25;2026;5;3
OESTE;NOROESTE;2026-05-28;2026;5;1
OESTE;NOROESTE;2026-05-05;2026;5;2
