"GER";"UTEP";"ANO";"MES";"TOTAL"
SUL;EXTREMO SUL;2026;JAN;2
OESTE;EXTREMO OESTE;2026;JAN;4
NORTE;CENTRO NORTE;2026;JAN;1
OESTE;NOROESTE;2026;JAN;2
NORTE;CENTRO;2026;JAN;1
OESTE;SUDESTE;2026;JAN;1
SUL;CENTRO SUL;2026;JAN;1
OESTE;SUDOESTE;2026;JAN;3
SUL;SALVADOR;2026;JAN;1
NORTE;NORDESTE;2026;JAN;1
OESTE;SUDOESTE;2026;FEV;3
OESTE;SUDESTE;2026;FEV;1
NORTE;NORTE;2026;FEV;1
OESTE;EXTREMO OESTE;2026;FEV;1
NORTE;NORDESTE;2026;FEV;4
SUL;SUL;2026;FEV;1
SUL;SALVADOR;2026;FEV;4
OESTE;NOROESTE;2026;FEV;2
NORTE;CENTRO NORTE;2026;FEV;8
NORTE;SEABRA;2026;FEV;2
SUL;EXTREMO SUL;2026;FEV;4
SUL;SALVADOR;2026;MAR;5
NORTE;NORDESTE;2026;MAR;11
SUL;CENTRO SUL;2026;MAR;2
OESTE;EXTREMO OESTE;2026;MAR;1
OESTE;SUDESTE;2026;MAR;2
SUL;SUL;2026;MAR;3
OESTE;OESTE;2026;MAR;11
NORTE;CENTRO NORTE;2026;MAR;2
OESTE;NOROESTE;2026;MAR;3
SUL;EXTREMO SUL;2026;MAR;9
NORTE;NORTE;2026;MAR;2
OESTE;SUDOESTE;2026;MAR;2
NORTE;CENTRO OESTE;2026;ABR;1
OESTE;NOROESTE;2026;ABR;1
OESTE;EXTREMO OESTE;2026;ABR;1
SUL;SUL;2026;ABR;4
OESTE;SUDOESTE;2026;ABR;2
NORTE;NORDESTE;2026;ABR;12
OESTE;SUDESTE;2026;ABR;1
NORTE;SEABRA;2026;ABR;2
SUL;SALVADOR;2026;ABR;4
SUL;CENTRO SUL;2026;ABR;2
OESTE;SUDOESTE;2026;MAI;1
OESTE;NOROESTE;2026;MAI;6
NORTE;SERRINHA;2026;MAI;5
SUL;EXTREMO SUL;2026;MAI;3
SUL;SUL;2026;MAI;8
NORTE;NORDESTE;2026;MAI;4
OESTE;SUDESTE;2026;MAI;7
NORTE;CENTRO OESTE;2026;MAI;1
SUL;CENTRO SUL;2026;MAI;2
SUL;SALVADOR;2026;MAI;2
OESTE;NOROESTE;2026;JUN;2
SUL;CENTRO SUL;2026;JUN;1
OESTE;SUDOESTE;2026;JUN;3
OESTE;SUDESTE;2026;JUN;7
NORTE;NORDESTE;2026;JUN;1
NORTE;SEABRA;2026;JUN;2
SUL;SUL;2026;JUN;6
SUL;SALVADOR;2026;JUL;3
OESTE;EXTREMO OESTE;2026;JUL;2
OESTE;SUDESTE;2026;JUL;3
OESTE;SUDOESTE;2026;JUL;2
NORTE;CENTRO NORTE;2026;JUL;2
OESTE;NOROESTE;2026;JUL;1
