"GER";"UTEP";"LATITUDE";"LONGITUDE";"TOTAL"
OESTE;NOROESTE;-10.82497442;-42.725508;3
NORTE;SERRINHA;-11.62011026;-38.81215892;1
SUL;SUL;-14.59203545;-39.28380188;5
SUL;EXTREMO SUL;-17.61213094;-40.34584653;1
SUL;EXTREMO SUL;-17.51893334;-39.19421432;1
SUL;SUL;-14.78903955;-39.27310895;7
OESTE;SUDOESTE;-14.02550806;-41.25433351;4
NORTE;NORDESTE;-12.13418259;-38.42261577;3
NORTE;NORDESTE;-10.50581806;-39.01424873;2
OESTE;SUDOESTE;-14.3020069;-43.7617772;2
SUL;SUL;-14.80975439;-39.47333467;1
NORTE;SERRINHA;-11.60080905;-38.59135378;4
OESTE;SUDESTE;-13.29868722;-39.82760533;3
SUL;EXTREMO SUL;-16.58121604;-39.78128447;3
NORTE;CENTRO OESTE;-12.53225409;-40.30699492;2
OESTE;SUDESTE;-14.79359809;-40.14517465;2
SUL;CENTRO SUL;-12.87799705;-38.75794395;1
OESTE;NOROESTE;-11.34640522;-41.65998918;1
NORTE;NORDESTE;-12.21519967;-38.19828802;1
SUL;SUL;-14.6368142;-39.55230426;1
OESTE;EXTREMO OESTE;-12.07837226;-45.80046441;3
SUL;SALVADOR;-13.01477191;-38.48806148;13
NORTE;NORTE;-9.7403798;-41.89099692;2
SUL;EXTREMO SUL;-18.08853974;-39.54754589;6
OESTE;SUDOESTE;-14.34038328;-43.77162032;1
NORTE;SEABRA;-13.0038942;-41.37321301;1
NORTE;SEABRA;-12.092596;-41.64424839;1
NORTE;CENTRO NORTE;-11.52397953;-40.3189182;3
NORTE;CENTRO NORTE;-11.09309152;-40.43731194;3
SUL;EXTREMO SUL;-16.84451615;-40.15881263;2
OESTE;NOROESTE;-11.22670733;-41.8742692;2
OESTE;OESTE;-14.17107755;-44.54566886;3
OESTE;OESTE;-10.71582896;-44.03648541;5
SUL;EXTREMO SUL;-17.0423376;-39.53303988;1
NORTE;NORDESTE;-10.96430017;-38.785948;10
SUL;CENTRO SUL;-12.66378621;-39.10073614;1
OESTE;OESTE;-11.08895482;-43.14363855;3
NORTE;NORDESTE;-9.34017318;-38.25927323;6
NORTE;SEABRA;-12.80135065;-41.3246418;1
NORTE;SEABRA;-12.24350102;-41.61795886;2
NORTE;NORDESTE;-11.7994095;-37.94498147;1
NORTE;CENTRO;-12.22928425;-38.9600331;1
SUL;CENTRO SUL;-12.70924653;-39.70377461;1
NORTE;CENTRO NORTE;-10.45677149;-40.18998454;2
NORTE;NORDESTE;-11.93726137;-38.07877702;3
SUL;SUL;-14.79332027;-39.04318429;4
SUL;SALVADOR;-12.69881676;-38.32574006;6
OESTE;SUDOESTE;-14.54696227;-41.93714817;1
SUL;EXTREMO SUL;-17.89339178;-39.37201154;2
OESTE;EXTREMO OESTE;-11.74624753;-44.91646977;3
OESTE;SUDESTE;-15.24616719;-40.24738091;2
OESTE;EXTREMO OESTE;-12.14492489;-45.00416844;2
SUL;EXTREMO SUL;-16.44905618;-39.06211352;1
OESTE;EXTREMO OESTE;-11.04703249;-45.19099091;1
OESTE;SUDOESTE;-13.76797648;-42.71787981;1
SUL;CENTRO SUL;-12.96800777;-39.26113126;2
OESTE;NOROESTE;-11.29650407;-41.9909309;1
NORTE;NORDESTE;-11.94076741;-37.94547658;1
SUL;CENTRO SUL;-13.11506389;-38.89141863;1
SUL;EXTREMO SUL;-16.33809658;-39.01318258;1
OESTE;NOROESTE;-11.05455495;-41.97973193;2
NORTE;CENTRO NORTE;-10.50566155;-40.31882099;3
NORTE;NORDESTE;-8.72341824;-39.11658794;1
OESTE;NOROESTE;-11.55012611;-41.15909651;4
OESTE;SUDESTE;-14.94687091;-41.72486583;3
OESTE;NOROESTE;-11.55277072;-41.97515215;1
SUL;CENTRO SUL;-13.37034151;-39.07235025;1
OESTE;SUDOESTE;-14.57482239;-42.94411315;1
OESTE;SUDOESTE;-14.48998754;-42.68703332;1
OESTE;NOROESTE;-11.96722002;-41.64380001;1
SUL;CENTRO SUL;-12.91148926;-39.18809417;1
OESTE;SUDESTE;-13.85566401;-40.08860733;2
SUL;SUL;-15.43278798;-39.33249343;1
NORTE;NORTE;-9.41071709;-40.50355216;1
OESTE;SUDESTE;-14.86427304;-40.57637299;1
OESTE;NOROESTE;-11.63752644;-42.01124844;2
SUL;SUL;-14.95644084;-39.30251961;3
NORTE;NORDESTE;-10.41270217;-38.33104168;1
OESTE;SUDOESTE;-14.40850965;-42.07505534;2
OESTE;SUDOESTE;-14.42663024;-41.46168532;1
OESTE;SUDESTE;-14.67016997;-40.48464038;2
NORTE;NORDESTE;-8.84499653;-38.772309;2
OESTE;SUDESTE;-15.0334962;-41.26003348;3
NORTE;NORDESTE;-12.42926313;-38.32716688;1
OESTE;SUDESTE;-15.6197717;-40.26051512;2
OESTE;SUDOESTE;-14.22531503;-42.77856197;1
NORTE;CENTRO NORTE;-10.44015774;-39.33270595;1
OESTE;SUDOESTE;-14.20543824;-41.6670695;1
NORTE;SEABRA;-12.71512079;-41.82432848;1
NORTE;CENTRO NORTE;-10.95611728;-40.5747927;1
OESTE;SUDESTE;-15.59245631;-39.87566007;2
NORTE;NORDESTE;-10.06224241;-38.35181915;1
